CODIGO_PRODUTO,GIRO_MEDIO_DIAS,TOTAL_ENTRADAS,GIRO_MEDIO_MESES,CLASSIFICACAO_GIRO,2023,2024,2025,2026,TENDENCIA,TENDENCIA_PERC
CM008916,148.5,3,4.95,BAIXO,0.0,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
CM008935,175.0,2,5.833333333333333,BAIXO,0.0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
CM008955,136.0,6,4.533333333333333,BAIXO,5.0,9.166666666666666,1.6666666666666667,0.0,-3.333333333333333,-0.6666666666666666
CM008991,35.0,2,1.1666666666666667,ALTO,0.16666666666666666,0.0,0.0,0.0,-0.16666666666666666,-1.0
CM008992,125.0,5,4.166666666666667,BAIXO,0.08333333333333333,0.25,0.25,0.0,0.16666666666666669,2.0000000000000004
CM009013,170.0,5,5.666666666666667,BAIXO,8.333333333333334,4.166666666666667,16.666666666666668,0.0,8.333333333333334,1.0
CM009040,137.5,3,4.583333333333333,BAIXO,0.25,0.0,0.0,0.0,-0.25,-1.0
CM009045,126.0,2,4.2,BAIXO,0.0,6.333333333333333,0.0,0.0,0.0,0.0
CM009047,160.0,2,5.333333333333333,BAIXO,3.5,0.0,0.0,0.0,-3.5,-1.0
CM009059,141.33333333333334,4,4.711111111111111,BAIXO,0.16666666666666666,0.16666666666666666,0.0,0.0,-0.16666666666666666,-1.0
CM009096,175.0,2,5.833333333333333,BAIXO,0.16666666666666666,0.0,0.0,0.0,-0.16666666666666666,-1.0
CM009117,147.5,3,4.916666666666667,BAIXO,0.5833333333333334,0.0,0.0,0.0,-0.5833333333333334,-1.0
CM009162,166.0,4,5.533333333333333,BAIXO,0.0,41.666666666666664,75.0,0.0,75.0,75.0
CM009163,56.0,2,1.8666666666666667,MEDIO,0.0,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
CM009164,113.11111111111111,10,3.7703703703703706,BAIXO,48.416666666666664,16.666666666666668,33.416666666666664,0.0,-15.0,-0.3098106712564544
CM009167,60.0,17,2.0,MEDIO,33.333333333333336,19.166666666666668,31.666666666666668,0.0,-1.6666666666666679,-0.05000000000000003
CM009168,160.5,7,5.35,BAIXO,31.666666666666668,0.0,13.333333333333334,0.0,-18.333333333333336,-0.5789473684210527
CM009170,100.55555555555556,10,3.351851851851852,BAIXO,7.0,10.0,19.166666666666668,0.0,12.166666666666668,1.7380952380952384
CM009200,153.0,2,5.1,BAIXO,2.0,0.0,0.0,0.0,-2.0,-1.0
CM009207,57.0,2,1.9,MEDIO,5.166666666666667,0.0,0.0,0.0,-5.166666666666667,-1.0
CM009208,153.0,2,5.1,BAIXO,2.0,0.0,0.0,0.0,-2.0,-1.0
CM009224,154.0,2,5.133333333333334,BAIXO,1.75,0.0,0.0,0.0,-1.75,-1.0
CM009242,165.0,2,5.5,BAIXO,0.3333333333333333,0.08333333333333333,0.0,0.0,-0.3333333333333333,-1.0
CM009286,154.5,7,5.15,BAIXO,0.16666666666666666,0.5,0.75,0.0,0.5833333333333334,3.5000000000000004
CM009294,166.8,6,5.5600000000000005,BAIXO,0.008333333333333333,0.049999999999999996,0.11666666666666665,0.0,0.10833333333333332,12.999999999999998
CM009306,80.0,2,2.6666666666666665,MEDIO,0.0,0.0,1.0833333333333333,0.0,1.0833333333333333,1.0833333333333333
CM009357,128.0,2,4.266666666666667,BAIXO,0.0,50.0,0.0,0.0,0.0,0.0
CM009386,176.0,3,5.866666666666666,BAIXO,8.333333333333334,25.0,0.0,0.0,-8.333333333333334,-1.0
CM009409,152.5,7,5.083333333333333,BAIXO,5.833333333333333,7.416666666666667,4.166666666666667,0.0,-1.666666666666666,-0.28571428571428564
CM009412,113.875,9,3.7958333333333334,BAIXO,183.33333333333334,66.66666666666667,166.66666666666666,0.0,-16.666666666666686,-0.09090909090909101
CM009424,159.66666666666666,4,5.322222222222222,BAIXO,4.583333333333333,6.666666666666667,0.0,0.0,-4.583333333333333,-1.0
